No.,Term,Korean Term,Definition,Korean Definition
270,motivation,동기,"the anticipation of reward, whether internally or externally administered; choices made about goals to pursue and the effort exerted in their completion","내적 혹은 외적으로 주어지는 보상에 대한 기대감과 목표 추구를 위해 쏟아붓는 노력"
271,multilingualism,다중언어 사용,"ability to use two or more languages","두 개 이상의 언어를 구사하고 사용할 수 있는 능력이나 현상"
272,multimodal communication,다중 양식 의사소통,"sending and receiving messages through several modes, such as text, visuals, audio, and touch, that are available when creating ePortfolios, websites, visual presentation slides, research posters, and other materials","텍스트, 시각 자료, 오디오 등 시청각적이고 다각적인 매체들을 복합적으로 사용하여 메시지를 주고받는 소통 방식"
273,multiple intelligences,다중 지능,"the hypothesis that intelligence is not limited to traditional concepts of verbal, logical, and mathematical ability, but has multiple modes including spatial, emotional, musical, contextual, and interpersonal","인간의 지능이 단순히 언어적이나 수리적인 것에 국한되지 않고, 공간/음악/대인관계 등 다방면으로 존재한다는 이론"
274,narrative evaluation,서술형 평가,"a form of individualized written feedback about a student's performance, sometimes used as an alternative or supplement to a letter grade","학생의 수행에 대해 문자 등급을 대신하거나 보완하기 위해 글로 풀어쓴 개별화된 서면 피드백 형태"
275,nativization,토착화,"indigenization of a language; what was once a second language in a culture evolves into a language accepted as ""native"" or standard","한 문화권에서 과거 제2언어였던 것이 점진적으로 진화하여 '원어' 또는 표준 언어처럼 수용되는 현상"
276,Natural Approach,자연 교수법,"a language teaching method that simulates child language acquisition by emphasizing communication, comprehensible input, kinesthetic activities, and virtually no grammatical analysis","아동의 모국어 습득과 같이 문법 분석 없이 이해 가능한 입력과 의사소통을 최우선으로 강조하는 언어 교수법"
277,naturalization,귀화,"the act of making someone a legal citizen of a country that they were not born in","어떤 사람이 자신이 태어나지 않은 국가의 합법적 시민이 되도록 하는 행위"
278,necessity,필연성 (필요조건),"a criterion for legitimizing the conditions of a theory in which a component part must be included, and if not, the theory is rendered inadequate, as opposed to sufficiency","이론의 구성 요소를 포함하지 않으면 이론 자체가 부적절해지는 논리적 조건"
279,needs analysis,요구 분석,"a process of identifying the overall purposes of a course, ""gaps"" the course is intended to fill, and the opinions of both course designers and learners about their reasons for designing/taking the course; a needs analysis normally considers such questions as who the learners are, why they are learning English, in what context(s) they use it, and so on; depending on whom you ask, needs are ""wants, desires, demands, expectations, motivations, lacks, constraints, and requirements.""","코스의 전체 목적과 격차, 그리고 학습자가 영어를 배우는 이유와 맥락 등 전반적인 학습자 요구를 파악하는 과정"
280,negotiation,협상,"the act or process of reaching an agreement, usually involving linguistic exchanges, as in the give-and-take of conversation","대화에서 주고받기를 통해 합의에 도달하기 위해 주로 언어적 교환을 수반하는 과정"
281,nondirective,비지시적인,"using more inductive, student-centered approaches","학생이 스스로 유추하고 도출해 내게끔 하는 보다 학생 중심적인 귀납적 접근 방식"
282,norm-referenced test,규준 참조 평가 (상대 평가),"instrument in which each test-taker's score is interpreted in relation to a mean, median, standard deviation, and/or percentile rank","각 수험자의 점수를 집단의 평균이나 표준 편차 등 백분위 순위와 연관 지어 해석하는 상대 평가 도구"
283,norming,기준 설정 (표준화),"a process in which raters review a scoring rubric before using it, aligning it with other similar assessment instruments, to confirm the reliability and validity of the rubric","채점의 신뢰도와 타당도를 확보하기 위해 평가자들이 채점 기준(루브릭)을 사용 전에 검토하고 맞추는 과정"
284,noticing,알아차림 (주목),"the learner's paying attention to specific linguistic features in input","학습자가 언어 입력 속의 특정한 언어적 특징이나 형태에 의식적으로 주의를 기울이는 인지 행위"
285,notional-functional syllabus,개념-기능 중심 교수요목,"a language course that attends primarily to functions as organizing elements of a foreign language curriculum","외국어 교육과정을 조직할 때 기능(의사소통 목적)과 개념을 최우선적인 기준으로 구성하는 교수요목"
286,objective,목표,"explicit statement of what students will gain from a lesson and their expected performance, which will demonstrate achievement of learning outcomes","수업을 통해 학생이 성취할 결과와 예상되는 수행 능력을 분명하게 서술한 명시적 진술문"
287,objective tests,객관식 평가,"tests that have predetermined fixed responses","채점의 일관성을 위해 기설정된 고정된 정답만을 갖는 시험"
288,oculesics,시선학 (눈맞춤 의사소통),"nonverbal communication involving eye contact and eye 'gestures' to signal meaning.","의미를 전달하기 위해 눈맞춤이나 눈짓을 사용하는 비언어적 의사소통 체계"
289,olfactory,후각의,"pertaining to one's sense of smell; in nonverbal communication, the effect of natural and artificial odors on communication.","비언어적 의사소통에서 자연적 및 인공적 냄새가 소통에 미치는 영향을 다루는 감각"
290,optimal distance model,최적 거리 모델,"the hypothesis that an adult who fails to master a second language in a second culture may have failed to synchronize linguistic and cultural development","제2언어 환경에서 언어를 마스터하지 못한 성인은 언어와 문화적 발달 간의 동기화에 실패했을 것이라는 가설"
291,options,선택지,"different responses from which a test-taker can choose in an item","수험자가 객관식 문항 등에서 선택할 수 있도록 제공된 여러 가지 다양한 응답 항목들"
292,orientation,지향 (오리엔테이션),"one's personal perspective on a culture other than one's own, and the extent to which that perspective influences the intensity of motivation to understand or adapt to that culture and/or the language of the culture","자신의 문화가 아닌 타 문화에 대한 개인적 관점 및 동기 강도에 미치는 영향"
293,overgeneralization,과잉 일반화,"the process of generalizing a particular rule or item in the second language, irrespective of the native language, beyond conventional rules or boundaries","학습자가 학습한 특정 규칙을 예외적인 경우 등 관습적 경계를 넘어서 무리하게 적용하는 오류 과정"
294,overt error,명시적 오류,"an error that is unquestionably ungrammatical at the sentence level.","문장 수준에서 볼 때 누가 보아도 의심할 여지 없이 문법적으로 틀린 오류"
295,pacing,속도 조절 (페이싱),"the comfort level of a lesson in terms of rhythm and speed","리듬과 속도 측면에서 학생들이 느끼는 수업의 편안한 진행 속도"
296,pair work,짝 활동,"group work in groups of two, but usually involves less complex and briefer tasks","두 명의 학생으로 구성된 소그룹 활동이나 비교적 덜 복잡하고 짧은 과업에 주로 사용됨"
297,paradigm shifts,패러다임 전환,"a change in the perceptions and beliefs of a person or group of people","어느 한 개인이나 집단의 인식 및 신념 체계가 근본적으로 변화하는 현상"
298,parameters,매개변수 (파라미터),"characteristics of human language (in Universal Grammar) that vary across languages; built-in options, settings, or values that allow for cross-linguistic variation","보편 문법(UG)에서 언어 간 변이를 가능하게 하는 내장된 언어적 선택지나 특성 값들"
299,parsing,구문 분석,"the process of analyzing a string of symbols, either in natural language, computer languages or data structures, conforming to the rules of a formal grammar","자연어 등 기호의 배열을 공식 문법 규칙에 맞추어 문법적 구조를 분석하는 처리 과정"
300,partial-credit scoring,부분 점수 채점,"a method of scoring that permits multiple criteria for correctness so that a test taker might get partial credit (a fraction of full credit) for a response to a test item; see polytomous scoring","정답에 대한 여러 기준을 허용하여 수험자가 문항 응답 시 만점의 일부를 받을 수 있게 하는 채점법"
301,pedagogical tasks,교육적 과업,"any of a sequence of techniques designed ultimately to teach students to perform the target task","학생이 최종적으로 목표 과업을 수행할 수 있도록 설계된 일련의 교수용 기법과 훈련 과제들"
302,pedagogy,교육학 (교수법),"the principles and methods of teaching; the theory and practice of education and instruction","교수에 관한 원리와 교수 방법, 혹은 교육과 수업을 실천하는 전반적인 이론"
303,peer pressure,또래 압력,"encouragement, often among children, to conform to the behavior, attitudes, language, etc., of those around them","아동들 사이에서 주변의 행동, 태도, 언어 등에 동조하도록 장려하거나 압박하는 현상"
304,performance,수행,"one's actual ""doing"" of language in the form of speaking and writing (production) and listening and reading (comprehension), as opposed to competence","내재된 언어 능력(competence)과 대비되어 듣기, 읽기, 말하기, 쓰기의 형태로 나타나는 실제적인 언어 사용 행위"
305,performance-based assessment,수행 기반 평가,"assessment that typically involves oral production, written production, open-ended responses, integrated performance (across skill areas), group performance, and other interactive tasks","단순 지식을 묻는 것을 넘어 실질적인 산출이나 상호작용 등 통합된 수행 자체를 측정하는 실기 평가"
306,perlocutionary force,발화매개력,"the effect and importance of the consequences of communicative speech acts","의사소통적 화행이 청자에게 미치는 실제적인 결과나 영향력과 그 중요성"
307,phrasal constraint,구의 제약,"medium-length phrases that have a basic frame with one or two slots that can be filled with various words (e.g., sincerely yours, municipal code)","기본 틀을 지니고 있으며 다양한 단어로 채울 수 있는 빈칸을 가진 중간 길이 구문의 제약적 성격"
308,phrasal verb,구동사,"a combination of a verb with a preposition and/or adverb that often has a meaning that is different from that of the original verb (e.g., look into)","동사와 전치사나 부사의 결합으로, 본래 동사의 의미와 다른 새로운 의미를 갖는 어구"
309,picture-cued items,그림 단서 문항,"test questions in which a visual stimulus serves to prompt a response or in which the test-taker chooses, among visuals, a response that correctly matches a spoken or written prompt","시각적 자극이 응답을 유도하거나, 글이나 말을 듣고 올바른 시각 이미지를 찾아내는 평가 문항"
310,piloting,예비 실험 (파일럿 테스트),"before implementing a test, the process of trying it out with a sample group of test-takers who match the demographics of the targeted test-takers","본 시험을 시행하기 전 목표 응시자 집단과 유사한 표본 집단을 대상으로 시험을 시범 운영해 보는 과정"
311,placement test,배치 고사,"an assessment instrument specifically designed to determine test takers' levels of ability among two or more course levels in an educational program","교육 프로그램에서 응시자의 실력 수준을 파악하여 적절한 난이도의 코스에 반 배정을 하기 위한 목적의 평가 도구"
312,poly word,복합어 (다단어 표현),"a short, fixed phrase that performs a variety of functions (e.g., hold your horses); a marker of disagreement","다양한 기능을 수행하는 짧고 고정된 구(예: 관용구 등)"
313,polytomous scoring,다분 문항 채점,"assigning one or more scores to a response for partial credit because the response has differing levels of correctness","응답의 정확성 수준이 다르기 때문에 부분 점수를 위해 응답에 여러 단계의 점수를 부여하는 채점"
314,portfolios,포트폴리오,"a collection of student work (e.g., from a course or writing assignment) that can be used to demonstrate effort, progress, and achievement in a given area or within a particular time frame","특정 기간 내 학업의 노력, 발전 단계, 성취도를 증명하기 위해 모아둔 학생의 작품집 혹은 작문 모음"
315,postsystematic stage,후기 체계적 단계,"a stage in which the learner has relatively few errors and has mastered the system to the point that fluency and intended meanings are not problematic; see also stabilization.","오류가 상대적으로 거의 없고 유창성과 의도된 의미 전달에 문제가 없을 정도로 시스템을 숙달한 단계"
316,power distance,권력 거리,"the extent to which a culture accepts hierarchical power structures and considers them to be normal.","특정 문화권이 계층적인 권력 구조를 기꺼이 수용하고 정상적인 것으로 간주하는 정도"
317,practicality (of a test),실용도,"extent to which an instrument is within desirable financial limitations, time constraints, and ease of administration, scoring, and interpretation","평가 도구가 시간적/재정적 제약 내에 위치하며, 시험 실시와 채점 및 해석이 얼마나 용이한지에 대한 정도"
318,predictive validity,예측 타당도,"see validity","validity 참조"
319,prefabricated language,조립된 언어,"ready-made sentence fragments and whole sentences learned as memorized chunks of language that may provide models for the creation of new sentences","통째로 암기된 말뭉치로 새로운 문장을 만들기 위한 모델 역할을 제공하는 기성품처럼 조립된 문장 조각이나 전체 문장"
320,prefabricated patterns,조립된 패턴,"memorized chunks of language-words, phrases, short sentences-the component parts of which the speaker is unaware.","화자가 그 세부 구성 요소는 잘 모르더라도 통째로 암기하여 구사하는 단어나 구, 짧은 문장 등 말뭉치 덩어리"
321,presystematic,전 체계적 단계,"[error] an error in which the learner is only vaguely aware that there is some systematic order to a particular class of items; random error.","오류 분석에서 특정 언어 체계가 있다는 것을 모호하게만 인지하는 무작위적인 초기 단계 오류"
322,primary-trait scoring,주요 특성 채점,"in a writing test, a single score indicating the effectiveness of the text in achieving its primary goal","작문 평가에서 텍스트가 지시된 주요 목표나 특정한 수사학적 목적을 달성한 효율성만을 평가하는 채점 방식"
323,procedural knowledge,절차적 지식,"implicitly known knowledge that is incidentally available but not consciously verbalizable.","무의식적으로 활용이 가능하지만 명시적으로 말로 설명하기는 어려운 내재적이고 자동화된 지식"
324,procedure,절차,"a series of actions that are performed either by a teacher or students in a certain order during the lesson","수업 중에 교사나 학생들이 정해진 순서에 따라 단계적으로 수행하게 되는 일련의 활동이나 과정"
325,process,과정,"a progression of procedures (steps, stages, strategies, milestones) in learners' language development; attending to the procedures (steps, strategies, tools, abilities) used to comprehend or produce language; as opposed to product","언어 발달에 있어 절차의 진행; 최종 결과물보다 언어 이해와 산출 과정 자체를 중시하는 과정"
326,product,결과물,"the ultimate or end result of a set of learning efforts; for example, a final ""paper"" or the summation of abilities at the end of a course of study; attending to the end result of a linguistic action; as opposed to process","일련의 학습 과정 끝에 얻어지는 작문 과제물이나 과정 종료 시점의 총체적 능력 등 궁극적인 산출물"
327,proficiency test,숙달도 평가,"an assessment of one's general language ability, irrespective of any one course or curriculum","특정 코스나 교육 과정의 학습 여부와 관계없이 개인의 전반적인 언어 능력을 평가하는 시험"
328,project-based learning,프로젝트 기반 학습,"see experiential learning","experiential learning 참조"
329,proxemics,근접학 (공간 의사소통),"in nonverbal communication, conventions for acceptable physical distance between persons.","비언어적 의사소통에서 사람 사이의 수용 가능한 물리적 거리에 관한 학문"
330,psychometric structuralism,심리측정적 구조주의,"a movement in language testing that seized the tools of the day to focus on issues of validity, reliability, and objectivity","언어 테스팅에서 신뢰도, 객관도, 타당도 등의 측정 이슈에 집중하기 위해 고안된 구조주의적 관점"
331,real writing,실제적 작문,"writing that is produced to convey meaning for an authentic purpose; as opposed to display writing","보여주기 식의 목적(전시성 작문)과 달리 실제 목적을 위해 의미를 명확히 전달할 의도로 생산된 작문"
332,realia,실물 교재,"physical, real-world objects used in the classroom to teach language; authentic materials from everyday life, not specifically designed for language learners; realia are probably the oldest form of classroom aid. objects-food items, cosmetics, household gadgets, tools, clothing-always add some significant reality to the classroom. Their effectiveness in helping students to connect language to reality cannot be underestimated. realia are especially useful and important for teaching children who benefit from tangible objects that can stimulate kinesthetic connections.","교실 내에서 언어를 가르치기 위해 사용되는 실생활의 물리적 사물; 구체적 자극을 통해 현실성을 더해주는 실물들"
333,recast,고쳐 말하기 (리캐스트),"an implicit type of corrective feedback that reformulates or expands an ill-formed or incomplete utterance in an unobtrusive way.","대화의 흐름을 방해하지 않고 잘못되거나 불완전한 발화를 자연스럽게 올바른 형태로 고쳐 말해 주는 암시적 피드백"
334,receptive response,수용적 반응,"see selective response","selective response 참조"
335,redundancy,잉여성,"the quality or state of being redundant","언어 체계에서 중복되거나 과잉되는 품질 혹은 상태"
336,referential question,정보 지시적 질문 (참조 질문),"request for information not known by the questioner","질문자가 정답을 모르고 실제 정보를 묻기 위해 던지는 진정한 의미의 질문"
337,reflective style,숙고적 유형,"the tendency to take a relatively long time to make a decision or solve a problem, sometimes in order to weigh options before making a decision.","결정하기 전 옵션을 비교하느라 상대적으로 오랜 시간이 걸리며 실수를 줄이려 노력하는 인지 유형"
338,reformulation,재구성,"to formulate (something) again and usually in a different way","잘못된 표현 등을 다듬어서 다시 다른 형태로 만들어내는 과정"
339,register,사용역 (레지스터),"a set of language variants commonly identified by certain phonological features, vocabulary, idioms, and/or other expressions that are associated with an occupational or socioeconomic group","특정 직업군이나 사회 경제적 집단에서 흔히 통용되는 독특한 발음, 어휘, 억양 등의 언어 변이형 집합"
340,relative grading,상대 평가,"see grading","grading 참조"
341,reliability (of a test),신뢰도,"the consistency and dependability of an assessment instrument","평가 도구가 오차 없이 얼마나 일관성 있고 안정적으로 믿을 만하게 측정하는지에 대한 척도"
342,repetition,반복,"(in error treatment) the sequential reiteration of an ill-formed part of a student's utterance by a teacher; reiteration by a student of the correct form as a result of teacher feedback, sometimes including incorporation of the correct form in a longer utterance.","(오류 수정에서) 학생의 잘못된 발화를 교사가 따라 말해 주거나 교사의 피드백을 통해 학생이 올바른 발화를 반복하는 기법"
343,restructuring,재구조화,"self-efficacy process by which the components of a task are coordinated, integrated, or reorganized into new units, thereby allowing old components to be replaced by a more efficient procedure","과업 요소가 새로운 단위로 통합되고 재조직되어 더 효과적인 과정으로 오래된 구성 요소를 대체하는 처리 과정"
344,rhetorical formality (in writing),수사학적 형식성,"organizational conventions in writing for connecting sentences, showing relationships, opening paragraphs, using subordination, and so on, that extend beyond the sentence level","문장 간 연결, 단락 열기 등 문장 수준을 넘어서는 작문의 조직적 관습"
345,risk taking,위험 감수,"willingness to gamble, to try out hunches about a language with the possibility of being wrong","틀릴 가능성이 있더라도 언어에 대한 직감을 대담하게 시험해 보려는 성향이나 태도"
346,role-play,역할극,"giving a role to one or more members of a group and assigning an objective or purpose that participants must accomplish","그룹 구성원에게 특정한 역할을 부여하고 의사소통 목표나 목적을 성취하도록 유도하는 활동"
347,roles,역할,"functions or positions that a teacher or students have in a particular activity or in the classroom","수업 내 혹은 특정 활동에서 교사나 학생이 맡게 되는 지위나 기능"
348,rote learning,기계적 암기 학습,"acquiring and storing information in discrete categories unrelated to existing cognitive structure (e.g., by memorization or repetition)","새로운 정보를 기존 인지 구조와 연결하지 않고 독립적인 범주로 기계적인 반복을 통해 단순 암기하는 방식"
349,rubrics,채점 기준 (루브릭),"specified categories, which break down a skill into several components, for scoring or evaluating language performance; statements that describe what a student can perform at a particular point on a rating scale; sometimes also called rating scales or band descriptors","언어 수행을 평가하기 위해 기술을 여러 요소로 세분화한 범주; 특정 등급 단계의 수행 수준을 설명하는 진술문"
350,scaffolding,비계 (스캐폴딩),"the process of supporting learners' progression toward goals by providing hints, clues, reminders, examples, steps to solving a problem, encouragement, and other aids","힌트, 단서, 예시 등 문제 해결 단계 및 기타 보조물을 통해 학습자가 목표를 향해 나아가도록 발판을 지원해 주는 과정"
351,scanning,찾아 읽기 (스캐닝),"quickly searching for a particular piece or pieces of information in a text","텍스트에서 자신이 원하는 특정한 세부 정보를 찾기 위해 빠르게 훑어 내리는 읽기 방식"
352,schema theory,스키마 이론,"the concept that information is stored in long-term memory in networks of connected facts, concepts, and structures, which learners bring to bear on comprehension and production of language","정보가 장기 기억 내 지식망으로 저장되어 있으며, 언어를 이해하고 산출할 때 이를 활용한다는 이론"
353,schemata,스키마 (배경지식),"background knowledge; cultural or world knowledge and experience; background information that a language user brings to bear on a text","텍스트를 이해하기 위해 언어 사용자가 동원하는 배경 정보; 문화적 지식이나 기존 세상에 대한 경험 지식"
354,second identity,제2의 정체성,"an alternate ego, different from one's first language ego, that develops in reference to a second language and/or culture (see language ego).","모국어 자아와는 달리 제2언어나 타 문화와 관련하여 새롭게 발달하는 대체 자아"
355,second language (context),제2언어 (상황),"the target language is spoken outside the classroom, for example, Chinese (as the L2) in China (see foreign language context)","교실 밖에서도 목표어가 널리 쓰이는 환경 (예: 중국에서 제2언어로서 중국어를 배우는 상황)"
356,selective listening,선택적 듣기,"a process in which test-taker must discern specified information with a limited quantity of aural input","제한된 양의 청각적 입력에서 응시자가 지시된 특정 정보를 선별해 내는 평가나 듣기 과정"
357,selective response,선택적 반응,"test items that require the test-taker to select rather than produce a response, such as true/false or multiple-choice items","수험자가 스스로 문장을 만들어 내는 것이 아니라 참/거짓 또는 선다형 문항처럼 선택지만 고르는 평가 문항"
358,self-actualization,자아 실현,"reaching the pinnacle of one's potential; the culmination of human attainment","자신의 잠재력의 정점에 도달하는 것; 인간 성취의 최고봉"
359,self-determination,자기 결정,"one's own choice to make an effort because of what he or she will gain, either in the short term or long run","장단기적으로 얻게 될 이점을 고려하여 노력을 기울이기로 스스로 결정하고 선택하는 것"
360,self-efficacy,자기 효능감,"belief in one's own capabilities to perform a specific activity","자신이 특정한 과업이나 활동을 성공적으로 해낼 수 있다고 믿는 역량에 대한 스스로의 확신"
361,self-regulation,자기 규제,"deliberate goal-directed attempts to manage and control efforts to learn the L2","제2언어 학습 노력을 의도적이고 목표 지향적으로 스스로 조절하고 통제하려는 시도"
362,semantic mapping,의미망 형성,"grouping ideas from a text into meaningful clusters, connecting those clusters in a visual diagram","텍스트 내 아이디어들을 의미 단위로 묶어 시각적인 다이어그램이나 거미줄 구조로 연결하는 활동"
363,sentence builder,문장 구성 요소,"a phrase with one or two slots that can be filled with whole ideas to make a complete sentence (e.g., ""I think that X"")","완전한 문장을 만들기 위해 아이디어로 채울 수 있는 빈칸을 지닌 표현 형태 (예: 나는 X라고 생각한다)"
364,sentence repetition,문장 반복,"the task of orally reproducing part of a sentence or a complete sentence that has been modeled by a teacher or test administrator","교사나 시험관이 모델로 보여준 문장의 일부나 전체를 구두로 똑같이 따라 말하는 발화 과업"
365,Series Method,연속 교수법,"language teaching method in which learners practiced a number of connected ""series"" of sentences, which together formed a meaningful story or sequence of events","의미 있는 이야기나 일련의 사건을 형성하는 연결된 '연속된' 문장들을 학습자가 연습하는 언어 교수법"
366,sheltered models,쉘터드 모델 (보호 모델),"the deliberate separation of L2 students from native speakers of the target language for the purpose of content instruction","교과목 교수를 목적으로 목표어의 원어민들로부터 제2언어 학생들을 의도적으로 분리하여 가르치는 모델"
367,shifting (of a topic),화제 전환,"changing the subject in a conversation","대화 도중 주제를 다른 방향으로 바꾸어 버리는 행위"
368,Silent Way,침묵식 교수법,"a language teaching method that encouraged inductive learning, engaging in problem solving, and relating (mediating) physical objects to the new language","물리적 도구(막대) 등을 중재해 교사는 최대한 말을 아끼고 귀납적인 문제 해결 학습을 이끄는 언어 교수법"
369,simulations,시뮬레이션 (모의실험),"group role-plays or games in which characters and/or situations are assigned to participants","참여자들에게 구체적인 상황이나 캐릭터가 주어져 문제를 함께 해결해 나가는 게임 성격이 가미된 그룹 역할극"
370,situated learning,상황 학습,"within communities of practice, pedagogy that is tailored for a particular group of learners in a particular context.","실행 공동체 내에서 특정 맥락에 처한 특정 학습자 그룹에 맞춰 특별하게 고안된 교육학 이론"
371,situation analysis,상황 분석,"a study of information about the target educational setting, characteristics of class, faculty, and students, governance of course content and materials, and assessment methods","목표 교육 환경, 교수진 및 학생 특성, 교재, 평가 방법 등 교육과정 개발의 제반 요소들을 분석하는 연구"
372,skimming,훑어 읽기 (스키밍),"quickly running one's eyes across a whole text (such as an essay, article, or chapter) for its gist","문장 전체의 대의(요지)를 파악하기 위해 에세이나 챕터 등을 아주 빠른 속도로 눈으로 훑는 읽기 방식"
373,social distance,사회적 거리,"the cognitive and affective proximity of two cultures that come into contact within an individual.","개인 내에서 서로 접촉하게 되는 두 문화 간에 느끼는 인지적, 정의적 근접도의 거리"
374,social networking sites (SNSs),소셜 네트워킹 사이트,"web-based communities such as Facebook and Twitter in which individuals can develop and maintain social ties, both online and offline, through participation in a multifaceted and multisensory environment","다면적인 환경에서 온/오프라인 사회적 유대를 발전시키고 유지하는 페이스북 등 웹 기반 커뮤니티"
375,social responsibility,사회적 책임,"the obligation to act to benefit society at large, to promote the collective and common good for all, and to perform so as to maintain a balance between the economy and the ecosystems","경제와 생태계의 균형을 유지하고 공공의 선을 추구하며 사회 전체의 이익을 위해 행동할 의무"
376,socioaffective strategies,사회정의적 전략,"strategic options relating to social-mediating activity and interacting with others","자신의 학습 동기를 스스로 부여하거나 상호작용 활동을 통해 다른 사람의 도움을 구하는 전략적 방안"
377,specialized vocabulary,전문 어휘,"technical terms or words that frequently occur in particular registers of language (e.g., legal language)","법률 용어 등 특별한 언어 사용역(레지스터) 내에서 자주 출현하고 통용되는 기술적 용어나 어휘"
378,specifications (specs; test specs),명세서 (평가 명세서),"planned objectives, features, methods, and structure of a test","평가의 목표, 특징, 채점 방식, 문항 구조, 출제 범위 등이 세부적으로 계획된 청사진"
379,speech acts,화행,"communicative behaviors used systematically to accomplish particular purposes.","특정한 의사소통 목적을 성취하기 위해 발화의 형태로 수행되는 체계적인 의사소통 행위"
380,SQ3R,SQ3R (읽기 방법),"a pedagogical set of procedures for approaching a reading text involving (in sequential order): survey, question, read, recite, review","읽기 텍스트에 접근하기 위한 교육적 절차로 (순서대로): 훑어보기, 질문하기, 읽기, 암송하기, 복습하기"
381,stabilization,안정화,"see postsystematic stage and fossilization.","postsystematic stage 및 fossilization 참조"
382,standardized tests,표준화 검사,"tests that presuppose certain standard objectives or performance levels","수많은 사람의 경험적 데이터를 축적하여 표준적인 목표와 수행 수준을 상정해 둔 평가 도구"
383,standards,기준 (표준),"specifications of curricular objectives, criterion levels, and/or cutoff points against which a student's test performance is evaluated; also known as benchmarks, frameworks of reference, and performance levels","학생의 수행을 평가하기 위해 세워진 교육과정 목표의 세부 명세나 분할 점수로 벤치마크라고도 함"
384,standards-based assessment,기준 기반 평가,"measures that are used to evaluate student academic achievement and to show that students have reached certain standards","학생의 학업 성취도를 평가하고, 특정 기준에 도달했음을 증명하기 위해 사용되는 측정 방법"
385,stem,문두 (선다형 문항의),"the stimulus or prompt for a multiple-choice question","선다형(객관식) 문항에서 수험자의 응답을 끌어내기 위한 자극 혹은 문장의 서두 질문 부문"
386,stimulus,자극,"in behavioral learning theory, an agent that directly evokes a behavior (activity, emotion, thought, or sensory excitation)","행동주의 학습 이론에서 행동이나 감정, 감각의 반응을 직접적으로 불러일으키는 원인이나 자극제"
387,strategic competence,전략적 능력,"the ability to use communicative strategies to compensate for breakdowns and to enhance the rhetorical effect of utterances in the process of communication","의사소통 단절을 보상하고 발화의 효과를 증진시키기 위해 갖가지 의사소통 전략을 사용할 줄 아는 능력"
388,strategic investment,전략적 투자,"a certain degree of investment of one's time and effort into using effective strategies for accomplishing L2 goals","제2언어 목표를 성취하기 위해 학습자가 효과적인 전략을 사용하는 데 쏟아붓는 시간과 노력의 투자"
389,strategies-based instruction (SBI),전략 기반 교수법,"teaching learners with an emphasis on the strategic options that are available for learning; usually implying the teacher's facilitating awareness of those options in the learner and encouraging strategic action","학습 시 활용 가능한 전략을 학생에게 알려주고 이를 활용하도록 교사가 돕고 장려하는 교육 방식"
390,strategy,전략,"a specific method or technique for approaching a problem or task; a mode of operation for achieving a particular end; a planned design for controlling and manipulating certain information","과제에 접근하기 위한 구체적인 기술로, 목표 달성이나 정보를 조작하기 위해 계획된 운영 방식"
391,structural syllabus,구조 중심 교수요목,"a language course that attends primarily to forms (grammar, phonology, lexicon) as organizing elements of a foreign language curriculum, as opposed to a functional syllabus.","문법, 음운론, 어휘 등 언어 형태를 외국어 교육과정의 주요 조직 단위로 구성한 코스"
392,style,유형 (스타일),"in psychological functioning, consistent and rather enduring tendencies or preferences within an individual; general characteristics of intellectual and emotional functioning that differentiate one person from another.","개인 내에서 타인과 차별적으로 나타나는 인지적이고 정서적인 일관되고 내구성 있는 성향이나 선호도"
393,styles,유형 (스타일들),"consistent and enduring tendencies or preferences within an individual; general characteristics of intellectual and emotional functioning that differentiate one person from another","개인 내에서 지속적이고 일관적으로 나타나는 지적이고 감정적인 성향의 집합"
394,subjective tests,주관식 평가,"tests in which the absence of predetermined or absolutely correct responses require the judgment of the teacher to determine correct and incorrect answers","정해진 완벽한 정답이 없어서 채점 시 교사의 주관적인 판단이 요구되는 시험 유형"
395,subsumption,포섭,"the process of relating and anchoring new material to relevant established entities in cognitive structure (see meaningful learning).","새로운 정보를 기존 인지 구조에 존재하는 관련 엔티티에 유의미하게 연결하고 고정시키는 과정"
396,subtechnical word,반전문 어휘,"a word that occurs across a range of registers or subject areas","특정 범주 내를 넘어 다양한 레지스터와 여러 주제 영역에 폭넓게 등장하는 반전문적 단어"
397,subtractive bilingualism,감산적 이중언어 사용,"contexts in which a target language is held in relatively high esteem while home, native, or heritage languages are devalued","가정, 모국어 또는 유산 언어가 평가절하되는 상황에서 목표 언어가 상대적으로 높은 평가를 받는 이중언어 환경"
398,sufficiency,충분성 (충분조건),"a criterion for legitimizing the conditions of a theory in which a component part is 'adequate' to meet the specifications of the theory, as opposed to necessity.","구성 요소가 이론의 명세서를 충족시키기에 '적절'하다는 조건을 정당화하기 위한 기준(필요성과 반대)"
399,Suggestopedia,암시 교수법,"a language teaching method that contended that the human brain could process great quantities of material in a (suggested) state of relaxation and yielding control to the teacher","이완된 상태에서 뇌가 대량의 자료를 처리할 수 있다고 보아 음악 등을 이용해 암시하는 언어 교수법"
400,summative assessment,총괄 평가,"evaluation of the final products, performances, and usually end-of-course or end-of-unit overall evaluation","주로 과정이나 단원 종료 시점에 학습자의 학업 성취도를 전반적으로 최종 요약하기 위해 시행되는 평가"
